Drug,Y
CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](NC(=N)N)C1,30.1
CCOC(=O)COc1ccc([C@H]2CC[C@]3(CC2)OOC2(O3)C3CC4CC(C3)CC2C4)cc1,98.9
CCOC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,98.1
CCOC(=O)c1[nH]c(C)c(Cc2ccc(C(F)(F)F)nc2)c1C,93.6
CCOC(=O)c1cc(-c2ccc(F)cc2F)ccc1O,97.5
CCOC(=O)c1csc(Nc2ccc(Cl)cc2)n1,90.0
CCOc1cc2oc(=O)n(CCC(=O)O)c2cc1Cl.NC(CO)(CO)CO,88.7
CC[C@@](N)(c1cnc(C(F)(F)F)c(Cl)c1)c1c2ccn(C3CC3)c(=O)c2nn1C,71.1
CC[C@@](N)(c1cnc(C(F)(F)F)c(Cl)c1)c1c2ncn(C3CC3)c(=O)c2nn1C,76.1
CC[C@@](O)(c1cnc(C(F)(F)F)c(Cl)c1)c1c2ccn(C3CC3)c(=O)c2nn1C,33.0
CC[C@@](O)(c1cnc(C(F)(F)F)c(Cl)c1)c1c2cnn(C3CC3)c(=O)c2nn1C,37.0
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2-c1cc[n+](Cc2ccc(O[C@@H]4O[C@@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]4O)c(NC(=O)CCCn4cc(CNC(=O)CCCCCN5C(=O)C=CC5=O)nn4)c2)cc1)OCO3.O=C([O-])C(F)(F)F,95.85499999999999
CC[C@H](C)[C@@H]1C(=O)N[C@H](C2Cc3ccccc3C2)C(=O)N1[C@@H](C(=O)N1CCOCC1)c1ccc(C)nc1C,70.0
